model,artifact,severity,n_records,feature_dim,features_path,feature_redundancy_mean,feature_redundancy_std,feature_redundancy_global,feature_redundancy_batches,centroid_inequity_mean,centroid_inequity_std,centroid_inequity_global,centroid_inequity_batches,prediction_inequity_norm,prediction_inequity_raw,prediction_entropy,mean_probability_mass,prediction_inequity_global_norm,prediction_inequity_global_raw,prediction_share_entropy_global,mean_probability_mass_global,prediction_binary_entropy_global,prediction_binary_entropy_norm_global
st-mem,physionet_ma,physionet_ma_Sev2,88167,768,C:\Users\simon\Desktop\bm\inference\st-mem\physionet_ma\physionet_ma_Sev2\features.npy,40.76334163888639,8.947819276930174,27.146822714867344,1378,0.507924620619014,0.0447994422919741,0.4924703240394592,1378,0.0855377491172073,0.2604215964596945,2.7841008412637285,4.723900529876199,0.0855377491172073,0.2604215964596945,2.7841008412637285,4.723900529876199,0.3219119530140242,0.4644207782162137
st-mem,physionet_ma,physionet_ma_Sev3,88167,768,C:\Users\simon\Desktop\bm\inference\st-mem\physionet_ma\physionet_ma_Sev3\features.npy,42.06531036008106,8.507050933754288,27.533864787997157,1378,0.4483674628814176,0.03470502275513,0.4366023540496826,1378,0.1014594594558253,0.3088956008325501,2.735626836890873,5.601762452137799,0.1014594594558253,0.3088956008325501,2.735626836890873,5.601762452137799,0.3624075188535505,0.5228435302308909
xecg,physionet_clean,physionet_clean,88167,1024,C:\Users\simon\Desktop\bm\inference\xecg\physionet_clean\physionet_clean\features.npy,31.24001547772581,6.586925606183312,8.703044854175571,1378,0.9465349657442124,0.0522444790915248,0.971316397190094,1378,0.0681251526469975,0.2074085558071172,2.8371138819163058,2.054749465213696,0.0681251526469975,0.2074085558071172,2.8371138819163058,2.054749465213696,0.0692764095825823,0.0999447325553841
xecg,physionet_dn,physionet_dn_Sev1,88167,1024,C:\Users\simon\Desktop\bm\inference\xecg\physionet_dn\physionet_dn_Sev1\features.npy,28.80401734089332,7.4972404492717715,7.433287168776243,1378,0.8373148755774615,0.0564797033331288,0.8481435775756836,1378,0.0761299300498403,0.2317792802190537,2.8127431575043693,2.874667591043343,0.0761299300498403,0.2317792802190537,2.8127431575043693,2.874667591043343,0.1361833603337644,0.1964710586051166
xecg,physionet_dn,physionet_dn_Sev2,88167,1024,C:\Users\simon\Desktop\bm\inference\xecg\physionet_dn\physionet_dn_Sev2\features.npy,30.623563354614134,6.034075366879374,9.809748472867147,1378,0.7454216867382537,0.03531753598009978,0.7449894547462463,1378,0.11256419428458997,0.342704215183693,2.70181822253973,3.6589041589907754,0.11256419428458997,0.342704215183693,2.70181822253973,3.6589041589907754,0.17943831907019026,0.258874773068015
xecg,physionet_dn,physionet_dn_Sev3,88167,1024,C:\Users\simon\Desktop\bm\inference\xecg\physionet_dn\physionet_dn_Sev3\features.npy,40.7847353410505,7.109225633239402,20.69343623546129,1378,0.7732667185485104,0.05636691613391372,0.7813622951507568,1378,0.16349243665098145,0.4977563917819885,2.5467660459414345,3.7358427539367924,0.16349243665098145,0.4977563917819885,2.5467660459414345,3.7358427539367924,0.1777346235271187,0.25641685995684105
xecg,physionet_em,physionet_em_Sev1,88167,1024,C:\Users\simon\Desktop\bm\inference\xecg\physionet_em\physionet_em_Sev1\features.npy,29.827631706726702,7.466083402178627,9.690876608006665,1378,0.674490679850253,0.0462018343730435,0.652137041091919,1378,0.1210052905213181,0.3684033220753946,2.6761191156480284,4.58788990548249,0.1210052905213181,0.3684033220753946,2.6761191156480284,4.58788990548249,0.1952920579089148,0.2817468834701916
xecg,physionet_em,physionet_em_Sev2,88167,1024,C:\Users\simon\Desktop\bm\inference\xecg\physionet_em\physionet_em_Sev2\features.npy,31.460764629893337,8.396626212242877,11.534412919499538,1378,0.6670874256873165,0.04694645261375866,0.6601736545562744,1378,0.1382119012718639,0.4207892345826041,2.623733203140819,5.518797181507731,0.1382119012718639,0.4207892345826041,2.623733203140819,5.518797181507731,0.2152725446113484,0.3105726325503405
xecg,physionet_em,physionet_em_Sev3,88167,1024,C:\Users\simon\Desktop\bm\inference\xecg\physionet_em\physionet_em_Sev3\features.npy,39.62188362078682,12.73594897568034,19.188507505108113,1378,0.656464311052303,0.04539311827030677,0.6612891554832458,1378,0.14697599764561442,0.44747172263885826,2.5970507150845648,6.420586986402998,0.14697599764561442,0.44747172263885826,2.5970507150845648,6.420586986402998,0.23956954675132394,0.34562579704615176
xecg,physionet_gn,physionet_gn_Sev1,88167,1024,C:\Users\simon\Desktop\bm\inference\xecg\physionet_gn\physionet_gn_Sev1\features.npy,29.792856572414177,7.403817696622478,8.899630085048766,1378,0.8260352426412663,0.0706629272046894,0.8380364179611206,1378,0.0716387578161388,0.2181058055818687,2.8264166321415543,2.901047481715741,0.0716387578161388,0.2181058055818687,2.8264166321415543,2.901047481715741,0.1400568795845697,0.2020593656190414
xecg,physionet_gn,physionet_gn_Sev2,88167,1024,C:\Users\simon\Desktop\bm\inference\xecg\physionet_gn\physionet_gn_Sev2\features.npy,30.97223766844683,8.674282479639048,10.714281849029756,1378,0.6806366273211464,0.045986585135292884,0.6680610179901123,1378,0.11190927246641869,0.34071029101331574,2.7038121467101073,4.243634148198236,0.11190927246641869,0.34071029101331574,2.7038121467101073,4.243634148198236,0.20710424338007694,0.29878826487149795
xecg,physionet_gn,physionet_gn_Sev3,88167,1024,C:\Users\simon\Desktop\bm\inference\xecg\physionet_gn\physionet_gn_Sev3\features.npy,32.73171373407917,10.19326138030323,13.17256921258561,1378,0.6500876686483059,0.043906747377814505,0.6430810689926147,1378,0.13485640644311714,0.4105733552868198,2.633949082436603,5.188320037576799,0.13485640644311714,0.4105733552868198,2.633949082436603,5.188320037576799,0.2326148787714564,0.33559233204056754
xecg,physionet_in,physionet_in_Sev1,88167,1024,C:\Users\simon\Desktop\bm\inference\xecg\physionet_in\physionet_in_Sev1\features.npy,29.290464950833574,7.708235757302951,8.624922412816382,1378,0.8018706118679877,0.06776077501111986,0.8055418729782104,1378,0.07747853675009342,0.23588514357763835,2.8086372941457847,3.128411781089926,0.07747853675009342,0.23588514357763835,2.8086372941457847,3.128411781089926,0.15060525497046764,0.21727745447771157
xecg,physionet_in,physionet_in_Sev2,88167,1024,C:\Users\simon\Desktop\bm\inference\xecg\physionet_in\physionet_in_Sev2\features.npy,30.138501451911594,9.015377224300911,9.976016241967889,1378,0.6885898111088009,0.047602879195714105,0.6751056909561157,1378,0.10791880129138343,0.32856121198383237,2.7159612257395906,4.157105190499582,0.10791880129138343,0.32856121198383237,2.7159612257395906,4.157105190499582,0.20259559288722778,0.2922836571643629
xecg,physionet_in,physionet_in_Sev3,88167,1024,C:\Users\simon\Desktop\bm\inference\xecg\physionet_in\physionet_in_Sev3\features.npy,32.278794055577556,10.92940713202843,12.837277894129022,1378,0.6520923627824327,0.04370203748529272,0.6452161073684692,1378,0.13358801932560682,0.40671172224784025,2.6378107154755828,5.182033272905806,0.13358801932560682,0.40671172224784025,2.6378107154755828,5.182033272905806,0.2320057427774885,0.33471353456284314
xecg,physionet_ma,physionet_ma_Sev1,88167,1024,C:\Users\simon\Desktop\bm\inference\xecg\physionet_ma\physionet_ma_Sev1\features.npy,30.00663920346024,6.938743722824272,9.464835565907563,1378,0.7902016975796621,0.06058889443970497,0.7879071235656738,1378,0.09408409794114359,0.28644114721477987,2.758081290508643,3.2573123479279675,0.09408409794114359,0.28644114721477987,2.758081290508643,3.2573123479279675,0.15053095104684414,0.21717025657558137
xecg,physionet_ma,physionet_ma_Sev2,88167,1024,C:\Users\simon\Desktop\bm\inference\xecg\physionet_ma\physionet_ma_Sev2\features.npy,32.0666176957742,7.419987341894006,11.591274278408964,1378,0.7124672500505849,0.04626899620945979,0.7027284502983093,1378,0.1269686301556665,0.3865588433959335,2.6579635943274895,4.182186513513498,0.1269686301556665,0.3865588433959335,2.6579635943274895,4.182186513513498,0.1845827187489086,0.26629657297285275
xecg,physionet_ma,physionet_ma_Sev3,88167,1024,C:\Users\simon\Desktop\bm\inference\xecg\physionet_ma\physionet_ma_Sev3\features.npy,42.500753497546654,11.862238888735003,20.852102337274196,1378,0.6991905066115762,0.05061663049318381,0.6990994215011597,1378,0.15754955988259778,0.479663170116019,2.564859267607404,5.344182751409868,0.15754955988259778,0.479663170116019,2.564859267607404,5.344182751409868,0.21021914676977121,0.3032821205446581
